atom_id,state,standard_code,alignment_strength,rationale,source,reviewer,review_date,framework_version
therapeutic-communication,TX,127.402-c2B,primary,"Atom directly addresses verbal and nonverbal communication with patients and teams",ai-draft,maya-delgado,2026-04-20,2022 Adopted
therapeutic-communication,TX,127.402-c2D,primary,"Atom covers communication barriers and specific adaptations",ai-draft,maya-delgado,2026-04-20,2022 Adopted
cultural-competence-in-healthcare,TX,127.402-c8C,primary,"Atom directly covers cultural competence and humility in healthcare",ai-draft,maya-delgado,2026-04-20,2022 Adopted
cultural-competence-in-healthcare,TX,127.402-c2D,supporting,"Atom reinforces communication adaptations for diverse patient populations",ai-draft,maya-delgado,2026-04-20,2022 Adopted
wellness-and-disease-prevention,TX,127.402-c8B,primary,"Atom directly covers wellness dimensions and primary/secondary/tertiary prevention",ai-draft,maya-delgado,2026-04-20,2022 Adopted
vital-signs-overview,TX,127.402-c6E,primary,"Atom teaches measuring and recording the five standard vital signs with normal ranges",ai-draft,maya-delgado,2026-04-20,2022 Adopted
electronic-health-records-basics,TX,127.402-c7A,primary,"Atom covers EHR purpose, chart navigation, and safe documentation practices",ai-draft,maya-delgado,2026-04-20,2022 Adopted
electronic-health-records-basics,TX,127.402-c2C,supporting,"Atom reinforces written documentation standards within the EHR context",ai-draft,maya-delgado,2026-04-20,2022 Adopted
electronic-health-records-basics,TX,127.402-c7B,supporting,"Atom touches emerging tech (patient portals, HIE, FHIR APIs) used in healthcare delivery",ai-draft,maya-delgado,2026-04-20,2022 Adopted
leadership-and-teamwork-in-healthcare,TX,127.402-c3A,primary,"Atom addresses leadership characteristics and behaviors at every level",ai-draft,maya-delgado,2026-04-20,2022 Adopted
leadership-and-teamwork-in-healthcare,TX,127.402-c3B,primary,"Atom covers team-building, SBAR, closed-loop communication, and TeamSTEPPS",ai-draft,maya-delgado,2026-04-20,2022 Adopted
