atom_id,state,standard_code,alignment_strength,rationale,source,reviewer,review_date,framework_version
comptia-data-plus::2.1,georgia,IT-AIC-5.5,primary,SQL/DBMS for querying,ai-draft,,,2021-03-04
comptia-data-plus::2.1,georgia,IT-AIA-5.5,primary,"Data collection, manipulation, cleansing, transformation",ai-draft,,,2021-03-04
comptia-data-plus::2.1,georgia,IT-AIA-5.7,supporting,Identify and utilize existing datasets,ai-draft,,,2021-03-04
comptia-data-plus::2.2,georgia,IT-FAI-6.4,supporting,Analyze data to construct summaries and predictions,ai-draft,,,2021-03-04
comptia-data-plus::2.2,georgia,IT-AIA-5.1,supporting,Balanced vs imbalanced datasets identification,ai-draft,,,2021-03-04
comptia-data-plus::2.2,georgia,IT-AIA-5.2,primary,Identify potential problems with imbalanced data,ai-draft,,,2021-03-04
comptia-data-plus::2.2,georgia,IT-AIA-5.5,supporting,Cleansing is used to address inconsistencies,ai-draft,,,2021-03-04
comptia-data-plus::2.3,georgia,IT-AIA-5.5,primary,"Data manipulation, cleansing, transformation",ai-draft,,,2021-03-04
comptia-data-plus::2.3,georgia,IT-AIA-5.8,supporting,Pandas packages perform these transformations,ai-draft,,,2021-03-04
comptia-data-plus::2.3,georgia,IT-AIC-4.14,mentioned,String construction relates to string manipulation,ai-draft,,,2021-03-04
comptia-data-plus::3.1,georgia,IT-FAI-1.1,mentioned,Effective communication in writing/speaking,ai-draft,,,2021-03-04
comptia-data-plus::3.1,georgia,IT-AIC-3.5,supporting,Construct an argument using data to explain a model,ai-draft,,,2021-03-04
comptia-data-plus::3.2,georgia,IT-AIC-5.9,primary,"Regression, ANOVA, hypothesis testing, sampling",ai-draft,,,2021-03-04
comptia-data-plus::3.2,georgia,IT-AIA-5.9,primary,"Perform and interpret regression, ANOVA, hypothesis tests",ai-draft,,,2021-03-04
comptia-data-plus::3.2,georgia,IT-AIC-3.2,supporting,Regression and classification under supervised learning,ai-draft,,,2021-03-04
comptia-data-plus::3.2,georgia,IT-FAI-6.4,supporting,Analyze data to make informed predictions,ai-draft,,,2021-03-04
comptia-data-plus::3.3,georgia,IT-AIC-4.16,supporting,Implement a debugging process,ai-draft,,,2021-03-04
comptia-data-plus::3.3,georgia,IT-AIA-7.4,mentioned,Problem-solving method to debug issues,ai-draft,,,2021-03-04
comptia-data-plus::4.1,georgia,IT-FAI-6.3,primary,Create tables and graphs to represent data visually,ai-draft,,,2021-03-04
comptia-data-plus::4.1,georgia,IT-AIC-5.7,primary,"Spreadsheet functions, pivot tables, formatting",ai-draft,,,2021-03-04
comptia-data-plus::4.1,georgia,IT-AIC-5.8,primary,"Scatterplots, bar graphs, histograms, stem/dot plots",ai-draft,,,2021-03-04
comptia-data-plus::4.2,georgia,IT-AIC-5.7,supporting,Spreadsheet pivot tables support dashboards,ai-draft,,,2021-03-04
comptia-data-plus::4.2,georgia,IT-AIC-5.8,supporting,Data visualization tools deliver reporting,ai-draft,,,2021-03-04
comptia-data-plus::4.2,georgia,IT-AIC-3.5,mentioned,Communicate data-driven arguments to audiences,ai-draft,,,2021-03-04
comptia-data-plus::4.3,georgia,IT-AIC-4.16,supporting,Debugging process applies to report issues,ai-draft,,,2021-03-04
comptia-data-plus::4.3,georgia,IT-AIA-5.6,supporting,Evaluate data sources addresses stale/corrupt data,ai-draft,,,2021-03-04
comptia-data-plus::5.1,georgia,IT-AIC-4.15,supporting,"Commenting, documentation, naming conventions",ai-draft,,,2021-03-04
comptia-data-plus::5.1,georgia,IT-AIA-4.1,supporting,Version Control System (GitHub) supports versioning,ai-draft,,,2021-03-04
comptia-data-plus::5.1,georgia,IT-AIA-5.6,mentioned,Evaluating sources relates to source of truth,ai-draft,,,2021-03-04
comptia-data-plus::5.2,georgia,IT-FAI-7.4,primary,Ethical and legal implications of AI,ai-draft,,,2021-03-04
comptia-data-plus::5.2,georgia,IT-FAI-7.5,supporting,Ethical/societal AI issues across sectors,ai-draft,,,2021-03-04
comptia-data-plus::5.2,georgia,IT-AIC-5.2,primary,Ethical issues in data science,ai-draft,,,2021-03-04
comptia-data-plus::5.2,georgia,IT-AIC-6.4,primary,Legal policies related to AI,ai-draft,,,2021-03-04
comptia-data-plus::5.2,georgia,IT-AIC-6.5,supporting,Ethical and legal implications analysis,ai-draft,,,2021-03-04
comptia-data-plus::5.3,georgia,IT-FAI-7.1,primary,Define privacy in AI context,ai-draft,,,2021-03-04
comptia-data-plus::5.3,georgia,IT-AIC-6.1,primary,Privacy issues in AI (real examples),ai-draft,,,2021-03-04
comptia-data-plus::5.3,georgia,IT-AIC-6.2,supporting,Propose solutions to privacy/ethical issues,ai-draft,,,2021-03-04
comptia-data-plus::5.4,georgia,IT-AIA-5.1,supporting,Balanced vs imbalanced dataset evaluation,ai-draft,,,2021-03-04
comptia-data-plus::5.4,georgia,IT-AIA-5.3,primary,"Training, validation, and test datasets",ai-draft,,,2021-03-04
comptia-data-plus::5.4,georgia,IT-AIA-5.4,supporting,Bias in datasets and implications,ai-draft,,,2021-03-04
comptia-data-plus::5.4,georgia,IT-AIA-5.6,primary,Factors to evaluate sources of data,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.1,georgia,IT-FAI-5.3,primary,Distinguishes data vs information; defines data concept,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.1,georgia,IT-FAI-5.1,supporting,Identifies kinds of data collected as Internet users,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.1,georgia,IT-AIC-5.3,supporting,Describes how data is used in AI applications,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.2,georgia,IT-FAI-5.2,primary,Defines basic data types used by computers,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.2,georgia,IT-FAI-4.5,supporting,"Applies data types (integer, string, Boolean, list)",ai-draft,,,2021-03-04
certiport-its-data-analytics::1.3,georgia,IT-AIC-5.6,primary,Defines dataset and data frame structures,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.3,georgia,IT-AIC-5.4,supporting,Compares spreadsheet and database structures,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.3,georgia,IT-FAI-6.1,supporting,Organizes data types using spreadsheet tools,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.4,georgia,IT-FAI-5.6,primary,Defines Big Data and its use in AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::1.4,georgia,IT-AIC-5.1,supporting,Examples of data science in the world around us,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.1,georgia,IT-AIC-5.5,primary,Defines DBMS language function (SQL),ai-draft,,,2021-03-04
certiport-its-data-analytics::2.1,georgia,IT-AIA-5.8,primary,Uses data analysis/manipulation packages (Pandas),ai-draft,,,2021-03-04
certiport-its-data-analytics::2.1,georgia,IT-AIA-5.7,supporting,Utilizes existing datasets from reliable sources,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.2,georgia,IT-AIA-5.5,primary,Defines data cleansing and transformation,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.2,georgia,IT-FAI-6.2,supporting,Uses spreadsheet functions to manipulate data,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.3,georgia,IT-FAI-6.2,primary,Preset spreadsheet functions to organize/manipulate data,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.3,georgia,IT-FAI-6.1,supporting,Selects and organizes data using spreadsheet tools,ai-draft,,,2021-03-04
certiport-its-data-analytics::2.4,georgia,IT-AIC-5.7,primary,"Pivot tables, formulas, cell referencing",ai-draft,,,2021-03-04
certiport-its-data-analytics::2.4,georgia,IT-FAI-6.2,supporting,Spreadsheet functions to organize/manipulate data,ai-draft,,,2021-03-04
certiport-its-data-analytics::3.1,georgia,IT-FAI-6.4,primary,"Analyzes data for summaries, decisions, predictions",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.1,georgia,IT-AIA-5.9,supporting,"Performs regression, ANOVA, hypothesis testing",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.2,georgia,IT-FAI-6.4,primary,Analyzes data to construct informed summaries,ai-draft,,,2021-03-04
certiport-its-data-analytics::3.2,georgia,IT-AIC-5.7,supporting,Spreadsheet formulas compute aggregation metrics,ai-draft,,,2021-03-04
certiport-its-data-analytics::3.3,georgia,IT-AIC-5.9,primary,Statistical tools for regression and sampling distributions,ai-draft,,,2021-03-04
certiport-its-data-analytics::3.3,georgia,IT-AIA-5.9,primary,"Interpret statistics including regression, ANOVA",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.4,georgia,IT-AIA-5.9,primary,"Performs and interprets regression, hypothesis testing",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.4,georgia,IT-AIC-5.9,supporting,"Visual/statistical tools for regression, ANOVA",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.5,georgia,IT-FAI-5.7,primary,Describes how AI uses data to make predictions,ai-draft,,,2021-03-04
certiport-its-data-analytics::3.5,georgia,IT-AIC-3.2,supporting,"Supervised, unsupervised, reinforcement learning",ai-draft,,,2021-03-04
certiport-its-data-analytics::3.5,georgia,IT-FAI-3.5,introduces,"Defines ML, NLP, computer vision",ai-draft,,,2021-03-04
certiport-its-data-analytics::4.1,georgia,IT-FAI-6.3,primary,Creates tables and graphs to represent data visually,ai-draft,,,2021-03-04
certiport-its-data-analytics::4.1,georgia,IT-AIC-5.8,primary,Creates data tables and graphic representations,ai-draft,,,2021-03-04
certiport-its-data-analytics::4.2,georgia,IT-AIC-5.8,primary,"Creates scatterplots, bar graphs, histograms, etc.",ai-draft,,,2021-03-04
certiport-its-data-analytics::4.2,georgia,IT-FAI-6.3,supporting,Creates tables and graphs using spreadsheets,ai-draft,,,2021-03-04
certiport-its-data-analytics::4.3,georgia,IT-FAI-6.4,primary,Constructs informed summaries from data,ai-draft,,,2021-03-04
certiport-its-data-analytics::4.3,georgia,IT-AIC-3.5,introduces,Constructs argument using data from experiments,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.1,georgia,IT-AIC-6.4,primary,Analyzes legal policies related to AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.1,georgia,IT-FAI-7.4,supporting,Compares ethical and legal implications of AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.2,georgia,IT-FAI-7.1,primary,Defines privacy in the context of AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.2,georgia,IT-AIC-6.1,supporting,Real examples of privacy issues in AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.2,georgia,IT-FAI-7.5,introduces,Ethical/societal AI issues including privacy,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.3,georgia,IT-AIA-5.4,primary,Bias in datasets and ethical implications,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.3,georgia,IT-FAI-7.1,primary,Defines bias in the context of AI,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.3,georgia,IT-FAI-7.2,supporting,Explores examples of bias using ML tools,ai-draft,,,2021-03-04
certiport-its-data-analytics::5.3,georgia,IT-AIC-6.3,supporting,Investigates bias and identifies solutions,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-FAI-2.4,primary,Describes using AI to solve problems directly,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-FAI-3.2,supporting,Identifies what problems AI is intended to solve,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-FAI-3.3,supporting,Discusses AI use for real-world problems and business needs,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-AIC-7.1,primary,Identify real-world problem that might be solved with AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-AIA-4.4,primary,Research an interest/problem that could be solved with AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.1,georgia,IT-AIA-6.1,supporting,Identify real problem that might be solved with AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.2,georgia,IT-AIC-3.1,primary,Classify critical contemporary areas of AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.2,georgia,IT-AIC-3.2,primary,"Classify supervised, unsupervised, reinforcement learning",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.2,georgia,IT-AIC-3.6,supporting,Determine type of AI being used in examples,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.2,georgia,IT-FAI-3.5,supporting,"Define critical areas of AI: ML, NLP, CV",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.3,georgia,IT-AIC-2.4,supporting,Identify trends/changes in the AI industry,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.3,georgia,IT-AIA-3.2,supporting,Recommendations based on industry need,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.3,georgia,IT-AIA-4.1,supporting,Team-based software development process,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.4,georgia,IT-AIC-6.4,supporting,Legal policies related to AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.4,georgia,IT-AIC-6.5,supporting,Ethical and legal implications in real scenarios,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-FAI-7.1,primary,"Define bias, perception, privacy, accuracy in AI",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-FAI-7.3,supporting,Ethics and philosophy in AI applications,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-FAI-7.5,supporting,Ethical/societal AI issues in varied settings,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-AIC-6.1,primary,"Real examples of bias, perception, privacy issues",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-AIC-6.2,primary,Propose solutions to ethical/societal AI issues,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-AIC-6.5,supporting,Ethical and legal implications of AI scenarios,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.5,georgia,IT-AIA-5.4,supporting,Ethical implications of bias in data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.6,georgia,IT-FAI-7.4,primary,Ethical and legal implications of AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.6,georgia,IT-AIC-6.4,primary,Legal policies related to AI and development,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::1.6,georgia,IT-AIC-2.2,supporting,Analyze current events: ethical/social impact,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.1,georgia,IT-FAI-5.1,primary,Different kinds of data we collect as users,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.1,georgia,IT-AIA-5.5,primary,"Data collection, manipulation, cleansing, transformation",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.1,georgia,IT-AIA-5.6,supporting,Factors to consider when evaluating sources of data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.1,georgia,IT-AIA-5.7,supporting,Identify and utilize existing datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.2,georgia,IT-AIA-5.5,primary,Cleansing and transformation to improve datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.2,georgia,IT-AIA-5.6,primary,Evaluate sources of data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.2,georgia,IT-AIC-5.9,supporting,Statistical tools for understanding data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.3,georgia,IT-AIA-5.1,primary,Balanced vs imbalanced datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.3,georgia,IT-AIA-5.2,primary,Potential problems with imbalanced datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.3,georgia,IT-AIA-5.4,primary,Bias in datasets and implications,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.3,georgia,IT-FAI-7.2,supporting,Explore examples of bias in ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.3,georgia,IT-AIC-6.3,supporting,Investigate examples of bias and identify solutions,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.4,georgia,IT-AIA-3.1,supporting,Networks and cloud services used for AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.4,georgia,IT-AIA-4.2,supporting,"Computational, time, and space complexity",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.5,georgia,IT-FAI-5.2,primary,Basic types of data computers use,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.5,georgia,IT-FAI-5.5,primary,Computers store data using bits (binary),ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.5,georgia,IT-AIC-4.6,supporting,Assign and convert values/data types,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.5,georgia,IT-AIA-5.5,supporting,Data manipulation and transformation,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.6,georgia,IT-AIA-5.5,primary,Manipulate/transform data to improve datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.6,georgia,IT-AIC-5.3,supporting,How data is used in different AI applications,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.6,georgia,IT-AIC-5.7,supporting,Spreadsheet functions and pivot tables,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.7,georgia,IT-AIA-5.5,primary,Data cleansing/transformation to improve datasets,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.7,georgia,IT-AIA-5.8,primary,Use Pandas packages for ML model training,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.7,georgia,IT-AIC-5.8,supporting,Create data tables and representations,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.8,georgia,IT-AIA-5.3,primary,"Difference between training, validation, test sets",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.8,georgia,IT-AIA-5.7,supporting,Utilize existing datasets to train ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.8,georgia,IT-AIC-3.3,supporting,Plan and conduct experiment to train model,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.9,georgia,IT-AIC-4.15,primary,"Commenting, documentation, naming conventions",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.9,georgia,IT-AIC-6.4,supporting,Legal policies related to AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::2.9,georgia,IT-AIA-4.1,supporting,Version control and team dev process,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.1,georgia,IT-AIC-3.1,primary,"Areas of AI: ML, NLP, computer vision",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.1,georgia,IT-AIC-3.2,primary,Supervised/unsupervised/reinforcement learning,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.1,georgia,IT-FAI-3.5,supporting,Define critical areas of AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.1,georgia,IT-FAI-4.3,supporting,Evaluate algorithms analytically and empirically,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.2,georgia,IT-FAI-3.6,primary,Train ML model using web tool,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.2,georgia,IT-AIC-3.3,primary,Train model to recognize and distinguish data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.2,georgia,IT-AIA-4.3,primary,Use IDEs and packages to build/train ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.2,georgia,IT-AIA-5.7,supporting,Utilize datasets to train ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.3,georgia,IT-AIC-3.5,primary,Construct argument and evaluate if successful,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.3,georgia,IT-AIA-4.3,supporting,Build and train machine learning models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.3,georgia,IT-FAI-4.3,supporting,Evaluate algorithms analytically and empirically,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.4,georgia,IT-FAI-6.3,primary,Create tables and graphs to represent data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.4,georgia,IT-FAI-6.4,primary,Analyze data to construct summaries/decisions,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.4,georgia,IT-AIC-5.8,primary,Data tables and graphic representations of data,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.4,georgia,IT-AIC-5.9,supporting,Visual reporting and statistical tools,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.4,georgia,IT-AIA-5.9,primary,Visual reporting and statistical tools,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.5,georgia,IT-AIC-3.5,primary,Evaluate if ML experiment was successful,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.5,georgia,IT-AIC-3.4,supporting,Predict information trained machine uses,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.5,georgia,IT-AIC-5.9,supporting,"Regression analysis, ANOVA, hypothesis testing",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.5,georgia,IT-AIA-5.9,primary,Perform and interpret statistical analyses,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.5,georgia,IT-FAI-4.3,supporting,Evaluate algorithms analytically and empirically,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.6,georgia,IT-FAI-7.1,primary,"Define bias, perception, privacy, accuracy",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.6,georgia,IT-FAI-7.2,primary,Explore examples of bias in ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.6,georgia,IT-AIC-6.1,primary,Real examples of issues related to bias,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.6,georgia,IT-AIC-6.3,primary,"Investigate examples of bias, identify solutions",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.6,georgia,IT-AIA-5.4,primary,Bias in datasets and ethical implications,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.7,georgia,IT-AIC-5.9,primary,"Statistical tools: hypothesis testing, regression",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.7,georgia,IT-AIA-5.9,primary,Perform and interpret statistical tests,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.7,georgia,IT-AIC-3.5,supporting,Evaluate ML experiment using data argument,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.8,georgia,IT-AIC-6.4,primary,Legal policies related to AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.8,georgia,IT-AIC-6.5,primary,Ethical and legal implications of AI scenarios,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.8,georgia,IT-FAI-7.4,supporting,Ethical and legal implications of AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.9,georgia,IT-AIC-2.3,supporting,Impact of AI on intended users and society,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::3.9,georgia,IT-AIA-6.3,supporting,Collaboratively design AI solution,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.1,georgia,IT-AIC-4.15,supporting,Documentation and professional practices,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.1,georgia,IT-AIA-4.6,supporting,Online portfolio showcasing projects,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.1,georgia,IT-AIA-6.4,supporting,Develop prototype/working model,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.2,georgia,IT-AIA-2.2,primary,Current challenges and opportunities in AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.2,georgia,IT-AIC-2.3,supporting,Impact of new AI developments,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.2,georgia,IT-AIC-4.16,supporting,Implement a debugging process,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-3.1,primary,Networks and cloud services with AI,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-3.2,primary,Recommend AI applications per industry need,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-3.3,primary,"Open-source AI tools: TensorFlow, PyTorch",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-3.4,primary,"Proprietary AI tools: Azure, AWS, Watson",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-4.3,primary,IDEs and packages to build/train ML models,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-4.5,primary,Design/develop AI software solution,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.3,georgia,IT-AIA-6.4,supporting,Develop prototype/working AI model,ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.4,georgia,IT-AIC-4.15,supporting,"Professional practices: commenting, documentation",ai-draft,,,2021-03-04
certiport-its-artificial-intelligence::4.4,georgia,IT-AIC-4.16,supporting,Debugging process,ai-draft,,,2021-03-04
