credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
comptia-a-plus,core2,1.0,Operating Systems,28,1.9,"Identify common features and tools of the Linux client/desktop OS"
comptia-a-plus,core2,1.0,Operating Systems,28,1.10,"Given a scenario, install applications according to requirements"
comptia-a-plus,core2,1.0,Operating Systems,28,1.11,"Given a scenario, install and configure cloud-based productivity tools"
comptia-a-plus,core2,2.0,Security,28,2.1,"Summarize various security measures and their purposes"
comptia-a-plus,core2,2.0,Security,28,2.2,"Given a scenario, configure and apply basic Microsoft Windows OS security settings"
comptia-a-plus,core2,2.0,Security,28,2.3,"Compare and contrast wireless security protocols and authentication methods"
comptia-a-plus,core2,2.0,Security,28,2.4,"Summarize types of malware and tools/methods for detection, removal, and prevention"
comptia-a-plus,core2,2.0,Security,28,2.5,"Compare and contrast common social engineering attacks, threats, and vulnerabilities"
comptia-a-plus,core2,2.0,Security,28,2.6,"Given a scenario, implement procedures for basic SOHO malware removal"
comptia-a-plus,core2,2.0,Security,28,2.7,"Given a scenario, apply workstation security options and hardening techniques"
comptia-a-plus,core2,2.0,Security,28,2.8,"Given a scenario, apply common methods for securing mobile devices"
comptia-a-plus,core2,2.0,Security,28,2.9,"Compare and contrast common data destruction and disposal methods"
comptia-a-plus,core2,2.0,Security,28,2.10,"Given a scenario, apply security settings on SOHO wireless and wired networks"
comptia-a-plus,core2,2.0,Security,28,2.11,"Given a scenario, configure relevant security settings in a browser"
comptia-a-plus,core2,3.0,Software Troubleshooting,23,3.1,"Given a scenario, troubleshoot common Windows OS issues"
comptia-a-plus,core2,3.0,Software Troubleshooting,23,3.2,"Given a scenario, troubleshoot common mobile OS and application issues"
comptia-a-plus,core2,3.0,Software Troubleshooting,23,3.3,"Given a scenario, troubleshoot common mobile OS and application security issues"
comptia-a-plus,core2,3.0,Software Troubleshooting,23,3.4,"Given a scenario, troubleshoot common PC security issues"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.1,"Given a scenario, implement best practices associated with documentation and support systems"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.2,"Given a scenario, apply change management procedures"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.3,"Given a scenario, implement workstation backup and recovery methods"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.4,"Given a scenario, use common safety procedures"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.5,"Summarize environmental impacts and local environment controls"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.6,"Explain the importance of prohibited content/activity and privacy, licensing, and policy concepts"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.7,"Given a scenario, use proper communication techniques and professionalism"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.8,"Given a scenario, use remote access technologies"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.9,"Explain the basics of scripting"
comptia-a-plus,core2,4.0,Operational Procedures,21,4.10,"Explain basic concepts related to artificial intelligence (AI)"
