credential_id,course_number,course_name,module_number,module_name,objective_statement
google-it-support,4,System Administration and IT Infrastructure Services,4,Directory Services,Implement OpenLDAP and manage Mobile Device Management
google-it-support,4,System Administration and IT Infrastructure Services,5,Data Recovery and Backups,Understand data recovery fundamentals and backup solutions and strategies
google-it-support,4,System Administration and IT Infrastructure Services,5,Data Recovery and Backups,Design disaster recovery plans and write post-mortem documentation
google-it-support,4,System Administration and IT Infrastructure Services,6,Final Project,Apply systems administration knowledge to assess IT infrastructure for a fictitious company
google-it-support,5,IT Security: Defense against the Digital Dark Arts,1,Understanding Security Threats,Define and recognize security risks vulnerabilities and threats including CIA Triad
google-it-support,5,IT Security: Defense against the Digital Dark Arts,1,Understanding Security Threats,Identify types of malicious software network attacks DDoS client-side and password attacks
google-it-support,5,IT Security: Defense against the Digital Dark Arts,1,Understanding Security Threats,Recognize deceptive attacks social engineering and physical security threats
google-it-support,5,IT Security: Defense against the Digital Dark Arts,2,Cryptology,Understand symmetric and asymmetric encryption and hashing
google-it-support,5,IT Security: Defense against the Digital Dark Arts,2,Cryptology,Understand Public Key Infrastructure certificates and X.509 standards
google-it-support,5,IT Security: Defense against the Digital Dark Arts,2,Cryptology,Use cryptographic hardware TPM and perform hands-on labs with OpenSSL
google-it-support,5,IT Security: Defense against the Digital Dark Arts,3,The 3 As of Cybersecurity,Implement authentication methods including MFA RADIUS Kerberos TACACS+ and SSO
google-it-support,5,IT Security: Defense against the Digital Dark Arts,3,The 3 As of Cybersecurity,Configure Access Control Lists and authorization systems
google-it-support,5,IT Security: Defense against the Digital Dark Arts,3,The 3 As of Cybersecurity,Implement tracking usage and access (accounting) and mobile security methods
google-it-support,5,IT Security: Defense against the Digital Dark Arts,4,Securing Your Networks,Perform network hardening and configure VPNs proxy/reverse proxy
google-it-support,5,IT Security: Defense against the Digital Dark Arts,4,Securing Your Networks,Implement IDS/IPS and Unified Threat Management
google-it-support,5,IT Security: Defense against the Digital Dark Arts,4,Securing Your Networks,Understand network monitoring and packet analysis with tcpdump and Wireshark
google-it-support,5,IT Security: Defense against the Digital Dark Arts,5,Defense in Depth,Apply system hardening principles and configure host-based firewalls
google-it-support,5,IT Security: Defense against the Digital Dark Arts,5,Defense in Depth,Implement disk encryption antimalware and software patch management
google-it-support,5,IT Security: Defense against the Digital Dark Arts,5,Defense in Depth,Configure application policies and browser hardening
google-it-support,5,IT Security: Defense against the Digital Dark Arts,6,Creating a Company Culture for Security,Develop privacy policies data destruction procedures and security awareness training
google-it-support,5,IT Security: Defense against the Digital Dark Arts,6,Creating a Company Culture for Security,Manage incident reporting analysis response and recovery procedures
google-it-support,5,IT Security: Defense against the Digital Dark Arts,6,Creating a Company Culture for Security,Complete a capstone project creating an organizational security plan
google-it-support,5,IT Security: Defense against the Digital Dark Arts,7,Streamline Workflows with AI,Use AI for troubleshooting communicating technical concepts and automating routine IT tasks
google-it-support,5,IT Security: Defense against the Digital Dark Arts,7,Streamline Workflows with AI,Identify IT security risks using AI tools and create technical documentation with AI
google-it-support,6,Accelerate Your Job Search with AI,1,Uncover Your Transferable Skills with AI,Use AI to initiate job search and discover transferable skills
google-it-support,6,Accelerate Your Job Search with AI,2,Plan Your Job Search with AI,Develop personalized job search strategy and master resume writing with AI
google-it-support,6,Accelerate Your Job Search with AI,3,Manage Your Job Applications with AI,Utilize job search platforms and organize applications with tracking systems
google-it-support,6,Accelerate Your Job Search with AI,4,Prepare and Practice for Interviews with AI,Apply STAR method and practice interviews using AI tools
