credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
pcpp1-python,PCPP1 - Certified Professional in Python Programming 1,Python Institute (OpenEDG),Digital Technology,Software Solutions,,PS,"CBT; 45 single/multi-select; 65 min; 70% passing",PCPP-32-101,rolling,https://pythoninstitute.org/pcpp1,~45 across 5 sections,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"$195-325. Advanced OOP/GUI/networking. Prereq: PCAP. Too advanced for most HS."
oracle-java-foundations,Oracle Certified Foundations Associate - Java,Oracle,Digital Technology,Software Solutions,,HS,"CBT; ~60 MCQ; 65% passing",1Z0-811,rolling,https://education.oracle.com/java-foundations/pexam_1Z0-811,~60 across 9 domains,unknown,verify,verify,yes,unknown,yes (6 pt),unknown,yes,"Novice-level. Designed for HS/college. Free training via Oracle Academy. No experience required."
oracle-java-se8,Oracle Certified Associate Java SE 8 Programmer,Oracle,Digital Technology,Software Solutions,,Both,"CBT; 56 MCQ/multi-select; 120 min; 65% passing",1Z0-808,rolling,https://education.oracle.com/java-se-8-programmer-i/pexam_1Z0-808,~56 across 8 domains,unknown,verify,verify,yes,unknown,yes (9 pt),unknown,maybe,"Associate-level. $245. More rigorous than Foundations. Advanced HS or PS."
oracle-java-se-professional,Oracle Certified Professional - Java,Oracle,Digital Technology,Software Solutions,,PS,"CBT; MCQ/multi-select; 120 min; 68% passing",1Z0-829 (Java SE 17),rolling,https://education.oracle.com/oracle-certified-professional-java/trackp_357,~50+,unknown,unknown,unknown,yes,unknown,yes (12 pt),unknown,no,"Professional-level. Significant experience required. PS only."
unity-certified-user-programmer,Unity Certified User: Programmer,Unity Technologies (via Certiport),Digital Technology,Software Solutions,Arts Entertainment & Design → Design & Digital Arts,HS,"CBT; 37-43 MCQ; 50 min",rolling,rolling,https://unity.com/products/unity-certifications/user-programmer,~37-43,unknown,yes,verify,unknown,unknown,yes (4 pt),unknown,yes,"C# in Unity. Game dev + interactive media. 150 hrs recommended. ~$100-115 voucher."
unity-certified-user-artist,Unity Certified User: Artist,Unity Technologies (via Certiport),Digital Technology,Software Solutions,Arts Entertainment & Design → Design & Digital Arts,HS,"CBT; 37-43 MCQ; 50 min",rolling,rolling,https://unity.com/products/unity-certifications/user-artist,~37-43,unknown,yes,verify,unknown,unknown,yes (4 pt),unknown,no,"2D/3D art assets in Unity. Primary home arguably Design & Digital Arts."
unity-certified-user-vr,Unity Certified User: VR Developer,Unity Technologies (via Certiport),Digital Technology,Software Solutions,,HS,"CBT; 37-43 MCQ; 50 min (standalone since Jan 2024)",rolling,2024-01,https://unity.com/products/unity-certifications/vr-developer,~37-43,unknown,yes,verify,unknown,unknown,yes (4 pt),unknown,yes,"VR experience development in Unity. AR/VR sub-domain. 150 hrs recommended."
unreal-3d-fundamentals,Unreal Engine 3D Fundamentals,Epic Games (via Gameplan),Digital Technology,Software Solutions,Arts Entertainment & Design → Design & Digital Arts,HS,"CBT; 40 MCQ/multi-select; 60 min; proctored",v1,2025-09,https://gameplan.com/certifications/unreal-engine-3d-fundamentals,~40 across 10 topics,unknown,verify,unknown,unknown,unknown,unknown,unknown,yes,"NEW Sept 2025. Delivered on Gameplan platform. 2 retakes included. 100 hrs UE5 recommended."
apple-swift-certified-user,App Development with Swift Certified User,Apple (via Certiport),Digital Technology,Software Solutions,,HS,"CBT; 40 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/Apple/App-Dev-With-Swift/Overview.aspx,~40,unknown,yes,verify,unknown,unknown,unknown,unknown,yes,"iOS app dev with Swift/Xcode. 150 hrs instruction. Aligned to Develop in Swift Fundamentals."
apple-swift-associate,App Development with Swift Associate,Apple (via Certiport),Digital Technology,Software Solutions,,HS,"CBT; 45 MCQ; 50 min",rolling,rolling,https://certiport.pearsonvue.com/Certifications/Apple/App-Dev-With-Swift/Overview.aspx,~45,unknown,yes,verify,unknown,unknown,unknown,unknown,maybe,"Exploratory-level; aligned to Develop in Swift Explorations. Lighter than Certified User."
codehs-python-l1,CodeHS Python Level 1 Certification,CodeHS,Digital Technology,Software Solutions,Digital Technology → Data Science & AI,HS,"CBT; proctored; MCQ",rolling,rolling,https://codehs.com/info/certifications,varies,unknown,yes,unknown,unknown,unknown,unknown,unknown,maybe,"TX IBC approved. Cross-cuts DS/AI. No expiry."
codehs-web-dev-l1,CodeHS Web Development Level 1 Certification,CodeHS,Digital Technology,Software Solutions,Digital Technology → Web & Cloud,HS,"CBT; proctored; MCQ",rolling,rolling,https://codehs.com/info/certifications,varies,unknown,yes,unknown,unknown,yes (coming 25-26),unknown,unknown,maybe,"TX IBC; PA coming 25-26. Web dev fundamentals."
