credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
aws-ml-engineer-associate,AWS Certified Machine Learning Engineer - Associate,Amazon Web Services,Digital Technology,Data Science & Artificial Intelligence,,PS,"65 MCQ/multi-select/ordering; 170 min",MLA-C01,2024,https://d1.awsstatic.com/training-and-certification/docs-machine-learning-engineer-associate/AWS-Certified-Machine-Learning-Engineer-Associate_Exam-Guide.pdf,~40,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"Requires 1+ year ML experience. $150 exam. Too advanced for most HS."
google-data-analytics,Google Data Analytics Professional Certificate,Google (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,Both,Course-completion; quizzes + projects,rolling,rolling,https://grow.google/certificates/data-analytics/,~180 hrs,unknown,verify,verify,unknown,unknown,unknown,unknown,maybe,"ACE-recommended for college credit. ~$49/mo Coursera. No proctored exam."
google-advanced-data-analytics,Google Advanced Data Analytics Professional Certificate,Google (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,Both,Course-completion; quizzes + capstone,rolling,rolling,https://grow.google/certificates/advanced-data-analytics/,~200 hrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"Builds on Google Data Analytics cert. ML/predictive modeling focus. Not proctored."
google-ai-essentials,Google AI Essentials,Google (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,HS,Course-completion; exercises,rolling,rolling,https://grow.google/ai-essentials/,~10 hrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,maybe,"Under 10 hours. GenAI/prompting focus. Very accessible for HS. $49 one-time. No proctored exam."
google-ai-professional,Google AI Professional Certificate,Google (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,Both,Course-completion; hands-on activities,rolling,2025,https://www.coursera.org/professional-certificates/google-ai,~10 hrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,maybe,"Launched 2025. 7 modules. AI productivity/prompting focus. Very new; not yet on state lists."
ibm-data-science,IBM Data Science Professional Certificate,IBM (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,Both,Course-completion; quizzes + capstone,rolling,rolling,https://www.coursera.org/professional-certificates/ibm-data-science,~165 hrs,unknown,unknown,unknown,unknown,unknown,yes (partial — IBM badges at 1 pt),unknown,no,"12-course program. Python/SQL/ML focus. Credly badge. No proctored exam. Better for PS."
ibm-applied-ai,IBM Applied AI Professional Certificate,IBM (via Coursera),Digital Technology,Data Science & Artificial Intelligence,,Both,Course-completion; quizzes + projects,rolling,rolling,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,~80 hrs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"Covers AI/ML/NLP/Watson. Credly badge. No proctored exam."
ibm-skillsbuild-ai-fundamentals,IBM SkillsBuild: Artificial Intelligence Fundamentals,IBM SkillsBuild,Digital Technology,Data Science & Artificial Intelligence,,HS,Course-completion + badge assessment,rolling,rolling,https://skillsbuild.org/students/digital-credentials,~10,unknown,unknown,unknown,unknown,unknown,yes (1 pt),unknown,maybe,"FREE. Designed for HS students. Credly badge. Not proctored."
ibm-skillsbuild-data-fundamentals,IBM SkillsBuild: Data Fundamentals,IBM SkillsBuild,Digital Technology,Data Science & Artificial Intelligence,,HS,Course-completion + badge assessment,rolling,rolling,https://skillsbuild.org/students/digital-credentials,~10,unknown,unknown,unknown,unknown,unknown,yes (1 pt),unknown,maybe,"FREE. Designed for HS. Covers data concepts/tools. Ohio recognizes some IBM SkillsBuild badges at 1 point."
tableau-desktop-foundations,Salesforce Certified Tableau Desktop Foundations,Salesforce/Tableau,Digital Technology,Data Science & Artificial Intelligence,,Both,"45 MCQ/multi-select; 60 min",rolling,rolling,https://www.tableau.com/learn/certification/tableau-desktop-specialist-exam-guide,~30,unknown,verify,verify,unknown,unknown,yes (4 pt),unknown,maybe,"$100 exam. 70% passing. Entry-level Tableau/data viz."
tableau-data-analyst,Salesforce Certified Tableau Data Analyst,Salesforce/Tableau,Digital Technology,Data Science & Artificial Intelligence,,PS,"MCQ; 105 min",rolling,rolling,https://www.tableau.com/learn/certification/certified-data-analyst,~40,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"$250 exam. Too advanced for most HS."
databricks-genai-fundamentals,Databricks Generative AI Fundamentals Accreditation,Databricks,Digital Technology,Data Science & Artificial Intelligence,,Both,"10 MCQ; untimed",rolling,rolling,https://www.databricks.com/training/catalog/generative-ai-fundamentals-accreditation-1811,10,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"FREE. Non-proctored accreditation. 70% passing. Not on state lists."
databricks-ml-associate,Databricks Certified Machine Learning Associate,Databricks,Digital Technology,Data Science & Artificial Intelligence,,PS,"~48 MCQ; 90 min",rolling,2026,https://www.databricks.com/learn/certification/machine-learning-associate,~48,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"$200 exam. Requires Python/ML experience. Too advanced for HS."
databricks-genai-engineer,Databricks Certified Generative AI Engineer Associate,Databricks,Digital Technology,Data Science & Artificial Intelligence,,PS,"~45 MCQ; 90 min",rolling,rolling,https://www.databricks.com/learn/certification/genai-engineer-associate,~45,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"$200 exam. LLM/RAG/agent focus. PS only."
snowflake-snowpro-core,SnowPro Core Certification,Snowflake,Digital Technology,Data Science & Artificial Intelligence,,PS,"100 MCQ/multi-select; 115 min",COF-C03,rolling,https://learn.snowflake.com/en/certifications/snowpro-core-c03/,~40,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"$175 exam. Platform-specific. Too niche for HS CTE."
sas-base-programming,SAS Certified Specialist: Base Programming Using SAS 9.4,SAS Institute,Digital Technology,Data Science & Artificial Intelligence,,PS,"Performance-based; ~2 hrs",A00-231,rolling,https://www.sas.com/en_us/certification/credentials/foundation-tools/base-programming-specialist.html,~30,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"Performance-based exam (coding). Requires SAS software access. PS-level."
oracle-oci-ai-foundations,Oracle Cloud Infrastructure AI Foundations Associate,Oracle,Digital Technology,Data Science & Artificial Intelligence,,Both,"40 MCQ; 60 min",1Z0-1122-25,2025,https://mylearn.oracle.com/ou/learning-path/become-a-oci-ai-foundations-associate-2025/147781,~30,unknown,unknown,unknown,unknown,unknown,unknown,unknown,maybe,"65% passing. 15 attempts allowed. Free training via Oracle MyLearn."
comptia-datasys-plus,CompTIA DataSys+,CompTIA,Digital Technology,Data Science & Artificial Intelligence,,Both,"Max 90 MCQ + PBQ; 90 min",DS0-001,2024,https://www.comptia.org/en-us/certifications/datasys/,~35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"Database administration focus. 2-3 years experience target. Not a strong DS/AI anchor."
datacamp-data-analyst-associate,DataCamp Data Analyst Associate,DataCamp,Digital Technology,Data Science & Artificial Intelligence,,Both,"2-hr timed exam + practical; online",rolling,rolling,https://www.datacamp.com/certification/data-analyst,~20,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"SQL-focused exam. $149/year subscription required. Not widely recognized on state lists."
ms-dp-100,Microsoft Certified: Azure Data Scientist Associate,Microsoft,Digital Technology,Data Science & Artificial Intelligence,,PS,"MCQ + interactive; 100 min",DP-100,rolling,https://learn.microsoft.com/en-us/credentials/certifications/resources/study-guides/dp-100,~35,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,"RETIRING June 1 2026. Associate-level requiring significant ML experience. $165 exam."
