credential_id,name,issuer,cluster,sub_cluster,cross_cutting_tags,grade_band,exam_format,current_version,version_effective_date,objectives_source_url,objective_count,ca_approved,tx_ibc,fl_cape,ny_approved,pa_approved,oh_irc,il_approved,anchor_candidate,notes
aws-solutions-architect-assoc,AWS Certified Solutions Architect - Associate,Amazon Web Services,Digital Technology,Web & Cloud,,PS,"CBT; 65 items; 130 min; Pearson VUE",SAA-C03,2022-08,https://aws.amazon.com/certification/certified-solutions-architect-associate/,~65 across 4 domains,verify,yes,yes,verify,verify,yes (4 pt),verify,no,"$150. Recommends 1+ yr experience. PS-dominant. 3-year validity."
az-900,Microsoft Azure Fundamentals (AZ-900),Microsoft,Digital Technology,Web & Cloud,Digital Technology → IT Support & Services,Both,"CBT; 40-60 items; ~65 min; Pearson VUE",AZ-900,2019 (periodic updates),https://learn.microsoft.com/en-us/credentials/certifications/exams/az-900/,~40-60 across 4 domains,verify,yes,yes,verify,yes,yes (4 pt),verify,yes,"700/1000 passing. Free with MS Imagine Academy. Cross-cuts IT Support. Vendor-specific (Azure)."
az-104,Microsoft Azure Administrator (AZ-104),Microsoft,Digital Technology,Web & Cloud,,PS,"CBT; 40-60 items; ~150 min; Pearson VUE",AZ-104,2020 (periodic updates),https://learn.microsoft.com/en-us/credentials/certifications/exams/az-104/,~50-60 across 5 domains,verify,yes,yes,verify,verify,yes (6 pt),verify,no,"$165. Azure admin expertise required. PS-dominant."
gcp-digital-leader,Google Cloud Digital Leader,Google Cloud,Digital Technology,Web & Cloud,,Both,"CBT; 60 items; 90 min; Kryterion",Cloud Digital Leader,2021 (periodic updates),https://cloud.google.com/learn/certification/cloud-digital-leader,~60,no,verify,verify,no,no,verify,no,maybe,"$99. Non-technical fundamentals. No experience required. Free to CTE schools via Google Career Certificates. Weaker state-list penetration."
gcp-assoc-cloud-eng,Google Cloud Associate Cloud Engineer,Google Cloud,Digital Technology,Web & Cloud,,PS,"CBT; ~50 items; 120 min; Kryterion",Associate Cloud Engineer,2018 (periodic updates),https://cloud.google.com/learn/certification/cloud-engineer,~50,no,verify,verify,no,no,yes (6 pt),no,no,"$200. 6+ months GCP experience recommended. PS-dominant. 2-year validity."
comptia-cloud-plus,CompTIA Cloud+,CompTIA,Digital Technology,Web & Cloud,,PS,"CBT; up to 90 items; 90 min; Pearson VUE",CV0-004,2024,https://www.comptia.org/certifications/cloud,~90 across 6 domains,verify,yes,yes,verify,verify,yes (6 pt),verify,no,"750/900 passing. ~$369. Vendor-neutral. 2-3 yrs experience recommended. PS-dominant."
ms-900,Microsoft 365 Fundamentals (MS-900),Microsoft,Digital Technology,Web & Cloud,Digital Technology → IT Support & Services,Both,"CBT; 40-60 items; 45 min; Pearson VUE",MS-900,2019 (periodic updates),https://learn.microsoft.com/en-us/credentials/certifications/exams/ms-900/,~30-40,verify,yes,yes,verify,verify,yes (4 pt),verify,no,"700/1000 passing. Cross-cuts IT Support. Free with Imagine Academy."
adobe-acp-dreamweaver,Adobe Certified Professional in Web Authoring (Dreamweaver),Adobe (via Certiport),Digital Technology,Web & Cloud,Arts Entertainment & Design → Design & Digital Arts,Both,"CBT; proctored; MC + project-based; Certiport",ACP Dreamweaver CC,rolling,https://certifiedprofessional.adobe.com/dreamweaver,varies,verify,yes,yes,verify,yes,yes (4 pt),verify,no,"Still active but declining market relevance as Dreamweaver usage shrinks. $150. Valid 3 years."
meta-frontend-dev,Meta Front-End Developer Professional Certificate,Meta (via Coursera),Digital Technology,Web & Cloud,Digital Technology → Software Solutions,Both,"Course completion; 9 courses; NOT proctored",rolling,rolling,https://www.coursera.org/professional-certificates/meta-front-end-developer,9 courses,no,no,no,no,no,no,no,no,"No proctored exam. Covers HTML/CSS/JS/React. Strong portfolio value but structural mismatch with CTE accountability."
google-ux-design,Google UX Design Professional Certificate,Google (via Coursera),Digital Technology,Web & Cloud,Arts Entertainment & Design → Design & Digital Arts,Both,"Course completion; 7 courses; 200+ hrs; NOT proctored",rolling,rolling,https://www.coursera.org/professional-certificates/google-ux-design,7 courses,no,verify,verify,no,no,yes (2 pt),no,no,"ACE recommends 10 college credits. Free to CTE HS via Google Career Certificates. Ohio 2 pts. No proctored exam."
oracle-oci-foundations,Oracle Cloud Infrastructure Foundations Associate,Oracle,Digital Technology,Web & Cloud,,Both,"CBT; 55 items; 85 min; Pearson VUE; online proctored",1Z0-1085-25,2025,https://education.oracle.com/oracle-cloud-infrastructure-2024-foundations-associate/pexam_1Z0-1085-25,~55,no,verify,verify,no,no,verify,no,no,"68% passing. $150. Lifetime validity. Low CTE penetration. Niche."
